FluxView - FluxMed acquisition system
Signal file
Serial Number	:
W version:	1.20h-OX-CO2	File version:	1.13
Sampling rate:	256 Hz
Time	Flow	Volume	Paw	Pes	Ptpulm	Pga	Ptdiaf	CO2	
0.00391	-0.5	-474	17.5	18.5	-1.0	18.5	0.0	18.5	
0.00781	-0.4	-474	17.4	18.5	-1.1	18.5	0.0	18.5	
0.01172	-0.2	-474	17.3	18.5	-1.2	18.5	0.0	18.5	
0.01562	-0.1	-474	17.2	18.5	-1.3	18.5	0.0	18.5	
0.01953	0.1	-474	17.1	18.5	-1.4	18.5	0.0	18.5	
0.02344	0.2	-474	16.9	18.4	-1.5	18.4	0.0	18.4	
0.02734	0.4	-474	16.8	18.4	-1.6	18.4	0.0	18.4	
0.03125	0.6	-474	16.6	18.3	-1.7	18.3	0.0	18.3	
0.03516	0.8	-474	16.5	18.3	-1.8	18.3	0.0	18.3	
0.03906	1.0	-474	16.3	18.3	-2.0	18.3	0.0	18.3	
0.04297	1.3	-473	16.2	18.2	-2.0	18.2	0.0	18.2	
0.04688	1.6	-473	16.0	18.2	-2.2	18.2	0.0	18.2	
0.05078	1.8	-473	15.9	18.1	-2.2	18.1	0.0	18.1	
0.05469	2.1	-473	15.7	18.1	-2.4	18.1	0.0	18.1	
0.05859	2.3	-473	15.6	18.0	-2.4	18.0	0.0	18.0	
0.06250	2.6	-473	15.4	18.0	-2.6	18.0	0.0	18.0	
0.06641	2.9	-473	15.3	17.9	-2.6	17.9	0.0	17.9	
0.07031	3.2	-472	15.1	17.9	-2.8	17.9	0.0	17.9	
0.07422	3.4	-472	15.0	17.8	-2.8	17.8	0.0	17.8	
0.07812	3.6	-472	14.8	17.8	-3.0	17.8	0.0	17.8	
0.08203	3.8	-472	14.7	17.7	-3.0	17.7	0.0	17.7	
0.08594	3.9	-471	14.5	17.6	-3.1	17.6	0.0	17.6	
0.08984	4.0	-471	14.4	17.6	-3.2	17.6	0.0	17.6	
0.09375	4.2	-471	14.3	17.5	-3.2	17.5	0.0	17.5	
0.09766	4.2	-471	14.1	17.4	-3.3	17.4	0.0	17.4	
