FluxView - FluxMed acquisition system
Signal file
Serial Number	:
W version:	1.20h-OX-CO2	File version:	1.13
Sampling rate:	256 Hz
Time	Flow	Volume	Paw	Pes	Ptpulm	Pga	Ptdiaf	CO2	
0.00391	0.1	-239	16.8	15.9	0.9	15.9	0.0	15.9	
0.00781	-0.2	-239	16.7	15.8	0.9	15.8	0.0	15.8	
0.01172	-0.6	-239	16.6	15.8	0.8	15.8	0.0	15.8	
0.01562	-0.6	-239	16.7	15.9	0.8	15.9	0.0	15.9	
0.01953	-0.8	-240	16.8	15.8	1.0	15.8	0.0	15.8	
0.02344	-0.8	-240	16.8	15.9	0.9	15.9	0.0	15.9	
0.02734	-0.7	-240	17.0	15.9	1.1	15.9	0.0	15.9	
0.03125	-0.6	-240	17.1	15.9	1.2	15.9	0.0	15.9	
0.03516	-0.4	-240	17.1	15.9	1.2	15.9	0.0	15.9	
0.03906	-0.2	-240	17.1	15.9	1.2	15.9	0.0	15.9	
0.04297	-0.1	-240	17.1	15.9	1.2	15.9	0.0	15.9	
0.04688	-0.1	-240	17.0	15.9	1.1	15.9	0.0	15.9	
0.05078	-0.2	-240	17.0	16.0	1.0	16.0	0.0	16.0	
0.05469	-0.3	-240	17.1	16.0	1.1	16.0	0.0	16.0	
0.05859	-0.3	-240	17.1	15.9	1.2	15.9	0.0	15.9	
0.06250	-0.4	-240	17.2	15.9	1.3	15.9	0.0	15.9	
0.06641	-0.2	-240	17.3	16.0	1.3	16.0	0.0	16.0	
0.07031	-0.1	-240	17.2	16.0	1.2	16.0	0.0	16.0	
0.07422	-0.2	-240	17.2	16.0	1.2	16.0	0.0	16.0	
0.07812	-0.1	-240	17.2	16.0	1.2	16.0	0.0	16.0	
0.08203	-0.1	-240	17.1	16.0	1.1	16.0	0.0	16.0	
0.08594	-0.2	-240	17.1	16.1	1.0	16.1	0.0	16.1	
0.08984	-0.0	-240	17.1	16.1	1.0	16.1	0.0	16.1	
0.09375	-0.1	-240	17.1	16.0	1.1	16.0	0.0	16.0	
0.09766	-0.2	-240	17.1	16.1	1.0	16.1	0.0	16.1	
0.10156	-0.1	-240	17.1	16.0	1.1	16.0	0.0	16.0	
0.10547	-0.0	-240	17.1	16.0	1.1	16.0	0.0	16.0	
0.10938	-0.1	-240	17.1	16.0	1.1	16.0	0.0	16.0	
0.11328	-0.0	-240	17.0	16.0	1.0	16.0	0.0	16.0	
0.11719	0.1	-240	17.0	16.0	1.0	16.0	0.0	16.0	
0.12109	0.0	-240	17.0	16.0	1.0	16.0	0.0	16.0	
0.12500	0.0	-240	16.9	16.0	0.9	16.0	0.0	16.0	
0.12891	0.1	-240	16.9	16.0	0.9	16.0	0.0	16.0	
0.13281	0.1	-240	16.9	16.0	0.9	16.0	0.0	16.0	
0.13672	0.1	-240	16.8	16.0	0.8	16.0	0.0	16.0	
0.14062	0.1	-240	16.8	15.9	0.9	15.9	0.0	15.9	
0.14453	0.1	-240	16.7	15.9	0.8	15.9	0.0	15.9	
0.14844	0.1	-240	16.7	15.9	0.8	15.9	0.0	15.9	
0.15234	0.2	-240	16.7	15.9	0.8	15.9	0.0	15.9	
0.15625	0.1	-240	16.6	15.8	0.8	15.8	0.0	15.8	
0.16016	0.0	-240	16.6	15.9	0.7	15.9	0.0	15.9	
0.16406	0.1	-240	16.5	15.8	0.7	15.8	0.0	15.8	
0.16797	0.2	-240	16.5	15.8	0.7	15.8	0.0	15.8	
0.17188	0.0	-240	16.5	15.9	0.6	15.9	0.0	15.9	
0.17578	-0.0	-240	16.5	15.8	0.7	15.8	0.0	15.8	
0.17969	-0.0	-240	16.5	15.8	0.7	15.8	0.0	15.8	
0.18359	0.0	-240	16.4	15.8	0.6	15.8	0.0	15.8	
0.18750	0.0	-240	16.4	15.8	0.6	15.8	0.0	15.8	
0.19141	0.0	-240	16.4	15.8	0.6	15.8	0.0	15.8	
0.19531	0.0	-240	16.3	15.7	0.6	15.7	0.0	15.7	
0.19922	-0.0	-240	16.3	15.7	0.6	15.7	0.0	15.7	
0.20312	-0.1	-240	16.3	15.7	0.6	15.7	0.0	15.7	
0.20703	-0.0	-240	16.3	15.7	0.6	15.7	0.0	15.7	
0.21094	-0.1	-240	16.2	15.7	0.5	15.7	0.0	15.7	
0.21484	-0.2	-240	16.2	15.7	0.5	15.7	0.0	15.7	
0.21875	-0.1	-240	16.3	15.7	0.6	15.7	0.0	15.7	
0.22266	-0.2	-240	16.2	15.6	0.6	15.6	0.0	15.6	
0.22656	-0.3	-240	16.3	15.6	0.7	15.6	0.0	15.6	
0.23047	-0.2	-240	16.3	15.6	0.7	15.6	0.0	15.6	
0.23438	-0.3	-240	16.3	15.6	0.7	15.6	0.0	15.6	
0.23828	-0.4	-240	16.3	15.6	0.7	15.6	0.0	15.6	
0.24219	-0.2	-240	16.3	15.6	0.7	15.6	0.0	15.6	
0.24609	-0.2	-240	16.3	15.5	0.8	15.5	0.0	15.5	
0.25000	-0.3	-240	16.4	15.5	0.9	15.5	0.0	15.5	
0.25391	-0.2	-240	16.4	15.5	0.9	15.5	0.0	15.5	
0.25781	-0.3	-240	16.4	15.5	0.9	15.5	0.0	15.5	
0.26172	-0.4	-240	16.4	15.5	0.9	15.5	0.0	15.5	
0.26562	-0.3	-240	16.5	15.5	1.0	15.5	0.0	15.5	
0.26953	-0.3	-240	16.5	15.5	1.0	15.5	0.0	15.5	
0.27344	-0.5	-240	16.5	15.5	1.0	15.5	0.0	15.5	
0.27734	-0.5	-240	16.6	15.4	1.2	15.4	0.0	15.4	
0.28125	-0.3	-240	16.7	15.4	1.3	15.4	0.0	15.4	
0.28516	-0.4	-240	16.6	15.4	1.2	15.4	0.0	15.4	
0.28906	-0.3	-240	16.7	15.4	1.3	15.4	0.0	15.4	
0.29297	-0.3	-240	16.7	15.4	1.3	15.4	0.0	15.4	
0.29688	-0.4	-240	16.7	15.4	1.3	15.4	0.0	15.4	
0.30078	-0.2	-240	16.8	15.4	1.4	15.4	0.0	15.4	
0.30469	-0.2	-240	16.8	15.3	1.5	15.3	0.0	15.3	
0.30859	-0.4	-240	16.8	15.3	1.5	15.3	0.0	15.3	
0.31250	-0.3	-240	16.8	15.3	1.5	15.3	0.0	15.3	
0.31641	-0.2	-240	16.9	15.4	1.5	15.4	0.0	15.4	
0.32031	-0.2	-240	16.9	15.4	1.5	15.4	0.0	15.4	
0.32422	-0.3	-240	16.9	15.4	1.5	15.4	0.0	15.4	
0.32812	-0.2	-240	16.9	15.4	1.5	15.4	0.0	15.4	
0.33203	-0.4	-240	16.9	15.4	1.5	15.4	0.0	15.4	
0.33594	-0.4	-240	16.9	15.4	1.5	15.4	0.0	15.4	
0.33984	-0.2	-240	16.9	15.4	1.5	15.4	0.0	15.4	
0.34375	-0.2	-240	16.9	15.4	1.5	15.4	0.0	15.4	
0.34766	-0.3	-240	16.9	15.4	1.5	15.4	0.0	15.4	
0.35156	-0.2	-241	16.9	15.4	1.5	15.4	0.0	15.4	
0.35547	-0.2	-241	16.9	15.4	1.5	15.4	0.0	15.4	
0.35938	-0.3	-241	16.9	15.4	1.5	15.4	0.0	15.4	
0.36328	-0.3	-241	16.9	15.4	1.5	15.4	0.0	15.4	
0.36719	-0.2	-241	16.9	15.4	1.5	15.4	0.0	15.4	
0.37109	-0.3	-241	16.9	15.4	1.5	15.4	0.0	15.4	
0.37500	-0.3	-241	16.9	15.4	1.5	15.4	0.0	15.4	
0.37891	-0.1	-241	17.0	15.4	1.6	15.4	0.0	15.4	
0.38281	-0.2	-241	17.0	15.4	1.6	15.4	0.0	15.4	
0.38672	-0.3	-241	17.0	15.4	1.6	15.4	0.0	15.4	
0.39062	-0.1	-241	17.0	15.4	1.6	15.4	0.0	15.4	
0.39453	-0.1	-241	17.0	15.4	1.6	15.4	0.0	15.4	
0.39844	-0.3	-241	17.0	15.4	1.6	15.4	0.0	15.4	
0.40234	-0.3	-241	17.0	15.4	1.6	15.4	0.0	15.4	
0.40625	-0.3	-241	17.0	15.4	1.6	15.4	0.0	15.4	
0.41016	-0.3	-241	17.0	15.5	1.5	15.5	0.0	15.5	
0.41406	-0.2	-241	17.0	15.4	1.6	15.4	0.0	15.4	
0.41797	-0.1	-241	17.1	15.4	1.7	15.4	0.0	15.4	
0.42188	-0.2	-241	17.0	15.5	1.5	15.5	0.0	15.5	
0.42578	-0.2	-241	17.0	15.5	1.5	15.5	0.0	15.5	
0.42969	-0.2	-241	17.1	15.5	1.6	15.5	0.0	15.5	
0.43359	-0.2	-241	17.1	15.5	1.6	15.5	0.0	15.5	
0.43750	-0.1	-241	17.1	15.5	1.6	15.5	0.0	15.5	
0.44141	-0.1	-241	17.1	15.5	1.6	15.5	0.0	15.5	
0.44531	-0.3	-241	17.1	15.5	1.6	15.5	0.0	15.5	
0.44922	-0.3	-241	17.1	15.5	1.6	15.5	0.0	15.5	
0.45312	-0.2	-241	17.2	15.5	1.7	15.5	0.0	15.5	
0.45703	-0.3	-241	17.1	15.5	1.6	15.5	0.0	15.5	
0.46094	-0.3	-241	17.1	15.5	1.6	15.5	0.0	15.5	
0.46484	-0.3	-241	17.2	15.5	1.7	15.5	0.0	15.5	
0.46875	-0.3	-241	17.2	15.5	1.7	15.5	0.0	15.5	
0.47266	-0.3	-241	17.2	15.6	1.6	15.6	0.0	15.6	
0.47656	-0.2	-241	17.3	15.6	1.7	15.6	0.0	15.6	
0.48047	-0.3	-241	17.3	15.6	1.7	15.6	0.0	15.6	
0.48438	-0.3	-241	17.2	15.6	1.6	15.6	0.0	15.6	
0.48828	-0.3	-241	17.3	15.6	1.7	15.6	0.0	15.6	
0.49219	-0.2	-241	17.3	15.6	1.7	15.6	0.0	15.6	
0.49609	-0.4	-241	17.3	15.6	1.7	15.6	0.0	15.6	
0.50000	-0.3	-241	17.4	15.7	1.7	15.7	0.0	15.7	
0.50391	-0.2	-241	17.4	15.7	1.7	15.7	0.0	15.7	
0.50781	-0.3	-241	17.4	15.7	1.7	15.7	0.0	15.7	
0.51172	-0.4	-241	17.4	15.7	1.7	15.7	0.0	15.7	
0.51562	-0.2	-241	17.4	15.7	1.7	15.7	0.0	15.7	
0.51953	-0.2	-241	17.5	15.8	1.7	15.8	0.0	15.8	
0.52344	-0.2	-241	17.5	15.8	1.7	15.8	0.0	15.8	
0.52734	-0.3	-241	17.5	15.8	1.7	15.8	0.0	15.8	
0.53125	-0.4	-241	17.5	15.8	1.7	15.8	0.0	15.8	
0.53516	-0.5	-241	17.5	15.8	1.7	15.8	0.0	15.8	
0.53906	-0.5	-241	17.5	15.8	1.7	15.8	0.0	15.8	
0.54297	-0.4	-241	17.6	15.9	1.7	15.9	0.0	15.9	
0.54688	-0.4	-241	17.6	15.9	1.7	15.9	0.0	15.9	
0.55078	-0.3	-241	17.6	15.9	1.7	15.9	0.0	15.9	
0.55469	-0.2	-241	17.7	15.9	1.8	15.9	0.0	15.9	
0.55859	-0.4	-241	17.7	15.9	1.8	15.9	0.0	15.9	
0.56250	-0.3	-241	17.7	15.9	1.8	15.9	0.0	15.9	
0.56641	-0.2	-241	17.7	15.9	1.8	15.9	0.0	15.9	
0.57031	-0.3	-241	17.7	15.9	1.8	15.9	0.0	15.9	
0.57422	-0.1	-241	17.8	15.9	1.9	15.9	0.0	15.9	
0.57812	-0.1	-241	17.8	15.9	1.9	15.9	0.0	15.9	
0.58203	-0.3	-242	17.8	16.0	1.8	16.0	0.0	16.0	
0.58594	-0.3	-242	17.8	16.0	1.8	16.0	0.0	16.0	
0.58984	-0.3	-242	17.8	16.0	1.8	16.0	0.0	16.0	
0.59375	-0.2	-242	17.8	16.0	1.8	16.0	0.0	16.0	
0.59766	-0.3	-242	17.8	16.0	1.8	16.0	0.0	16.0	
0.60156	-0.5	-242	17.8	16.0	1.8	16.0	0.0	16.0	
0.60547	-0.5	-242	17.9	16.0	1.9	16.0	0.0	16.0	
0.60938	-0.4	-242	18.0	16.1	1.9	16.1	0.0	16.1	
0.61328	-0.6	-242	18.0	16.0	2.0	16.0	0.0	16.0	
0.61719	-0.7	-242	18.0	16.1	1.9	16.1	0.0	16.1	
0.62109	-0.8	-242	18.1	16.1	2.0	16.1	0.0	16.1	
0.62500	-0.8	-242	18.2	16.1	2.1	16.1	0.0	16.1	
0.62891	-0.7	-242	18.2	16.2	2.0	16.2	0.0	16.2	
0.63281	-0.7	-242	18.3	16.2	2.1	16.2	0.0	16.2	
0.63672	-0.7	-242	18.3	16.2	2.1	16.2	0.0	16.2	
0.64062	-0.6	-242	18.4	16.3	2.1	16.3	0.0	16.3	
0.64453	-0.4	-242	18.4	16.3	2.1	16.3	0.0	16.3	
0.64844	-0.4	-242	18.4	16.3	2.1	16.3	0.0	16.3	
0.65234	-0.2	-242	18.4	16.3	2.1	16.3	0.0	16.3	
0.65625	-0.1	-242	18.4	16.4	2.0	16.4	0.0	16.4	
0.66016	-0.3	-242	18.4	16.4	2.0	16.4	0.0	16.4	
0.66406	-0.2	-242	18.4	16.4	2.0	16.4	0.0	16.4	
0.66797	-0.0	-242	18.4	16.4	2.0	16.4	0.0	16.4	
0.67188	-0.1	-242	18.3	16.4	1.9	16.4	0.0	16.4	
0.67578	-0.1	-242	18.3	16.5	1.8	16.5	0.0	16.5	
0.67969	0.0	-242	18.3	16.5	1.8	16.5	0.0	16.5	
0.68359	0.0	-242	18.3	16.5	1.8	16.5	0.0	16.5	
0.68750	-0.1	-242	18.3	16.5	1.8	16.5	0.0	16.5	
0.69141	0.0	-242	18.2	16.6	1.6	16.6	0.0	16.6	
0.69531	0.1	-242	18.2	16.5	1.7	16.5	0.0	16.5	
0.69922	-0.1	-242	18.2	16.5	1.7	16.5	0.0	16.5	
0.70312	-0.2	-242	18.2	16.6	1.6	16.6	0.0	16.6	
0.70703	-0.3	-242	18.3	16.6	1.7	16.6	0.0	16.6	
0.71094	-0.6	-242	18.3	16.6	1.7	16.6	0.0	16.6	
0.71484	-0.6	-242	18.3	16.6	1.7	16.6	0.0	16.6	
0.71875	-0.6	-242	18.4	16.7	1.7	16.7	0.0	16.7	
0.72266	-0.7	-242	18.5	16.6	1.9	16.6	0.0	16.6	
0.72656	-1.0	-242	18.5	16.6	1.9	16.6	0.0	16.6	
0.73047	-1.3	-243	18.6	16.7	1.9	16.7	0.0	16.7	
0.73438	-1.5	-243	18.7	16.7	2.0	16.7	0.0	16.7	
0.73828	-1.5	-243	18.8	16.8	2.0	16.8	0.0	16.8	
0.74219	-1.4	-243	18.9	16.8	2.1	16.8	0.0	16.8	
0.74609	-1.1	-243	18.9	16.8	2.1	16.8	0.0	16.8	
0.75000	-0.9	-243	18.9	16.8	2.1	16.8	0.0	16.8	
0.75391	-0.6	-243	19.0	16.9	2.1	16.9	0.0	16.9	
0.75781	-0.5	-243	19.0	17.0	2.0	17.0	0.0	17.0	
0.76172	-0.5	-243	19.0	17.0	2.0	17.0	0.0	17.0	
0.76562	-0.2	-243	19.1	17.0	2.1	17.0	0.0	17.0	
0.76953	-0.1	-243	19.1	17.1	2.0	17.1	0.0	17.1	
0.77344	-0.1	-243	19.1	17.1	2.0	17.1	0.0	17.1	
0.77734	-0.0	-243	19.1	17.1	2.0	17.1	0.0	17.1	
0.78125	-0.1	-243	19.1	17.1	2.0	17.1	0.0	17.1	
0.78516	-0.2	-243	19.1	17.2	1.9	17.2	0.0	17.2	
0.78906	-0.1	-243	19.1	17.2	1.9	17.2	0.0	17.2	
0.79297	-0.1	-243	19.1	17.2	1.9	17.2	0.0	17.2	
0.79688	-0.1	-243	19.1	17.2	1.9	17.2	0.0	17.2	
0.80078	0.0	-243	19.0	17.2	1.8	17.2	0.0	17.2	
0.80469	-0.1	-243	19.0	17.3	1.7	17.3	0.0	17.3	
0.80859	-0.3	-243	19.0	17.3	1.7	17.3	0.0	17.3	
0.81250	-0.2	-243	19.0	17.3	1.7	17.3	0.0	17.3	
0.81641	-0.1	-243	19.0	17.3	1.7	17.3	0.0	17.3	
0.82031	-0.3	-243	19.0	17.3	1.7	17.3	0.0	17.3	
0.82422	-0.3	-243	19.1	17.4	1.7	17.4	0.0	17.4	
0.82812	-0.2	-243	19.1	17.4	1.7	17.4	0.0	17.4	
0.83203	-0.3	-243	19.1	17.5	1.6	17.5	0.0	17.5	
0.83594	-0.5	-243	19.2	17.4	1.8	17.4	0.0	17.4	
0.83984	-0.5	-243	19.2	17.5	1.7	17.5	0.0	17.5	
0.84375	-0.5	-243	19.2	17.5	1.7	17.5	0.0	17.5	
0.84766	-0.6	-243	19.3	17.5	1.8	17.5	0.0	17.5	
0.85156	-0.6	-243	19.3	17.5	1.8	17.5	0.0	17.5	
0.85547	-0.6	-243	19.4	17.6	1.8	17.6	0.0	17.6	
0.85938	-0.7	-243	19.4	17.6	1.8	17.6	0.0	17.6	
