FluxView - FluxMed acquisition system
Signal file
Serial Number	:
W version:	1.20h-OX-CO2	File version:	1.13
Sampling rate:	256 Hz
Time	Flow	Volume	Paw	Pes	Ptpulm	Pga	Ptdiaf	CO2	
0.00391	0.8	48209	-1.5	4.9	-6.4	4.9	0.0	4.9	
0.00781	0.8	48210	-1.5	4.8	-6.3	4.8	0.0	4.8	
0.01172	0.7	48210	-1.6	4.7	-6.3	4.7	0.0	4.7	
0.01562	0.7	48210	-1.6	4.6	-6.2	4.6	0.0	4.6	
0.01953	0.7	48210	-1.7	4.5	-6.2	4.5	0.0	4.5	
0.02344	0.7	48210	-1.7	4.4	-6.1	4.4	0.0	4.4	
0.02734	0.7	48210	-1.7	4.3	-6.0	4.3	0.0	4.3	
0.03125	0.6	48210	-1.8	4.3	-6.1	4.3	0.0	4.3	
0.03516	0.6	48210	-1.8	4.2	-6.0	4.2	0.0	4.2	
0.03906	0.5	48210	-1.8	4.1	-5.9	4.1	0.0	4.1	
0.04297	0.4	48210	-1.9	4.0	-5.9	4.0	0.0	4.0	
0.04688	0.3	48210	-1.9	3.9	-5.8	3.9	0.0	3.9	
0.05078	0.2	48210	-1.9	3.8	-5.7	3.8	0.0	3.8	
0.05469	0.1	48210	-1.8	3.8	-5.6	3.8	0.0	3.8	
0.05859	0.0	48210	-1.8	3.7	-5.5	3.7	0.0	3.7	
0.06250	-0.2	48210	-1.7	3.6	-5.3	3.6	0.0	3.6	
0.06641	-0.4	48210	-1.6	3.6	-5.2	3.6	0.0	3.6	
0.07031	-0.6	48210	-1.5	3.5	-5.0	3.5	0.0	3.5	
0.07422	-0.8	48210	-1.4	3.4	-4.8	3.4	0.0	3.4	
0.07812	-1.1	48210	-1.2	3.4	-4.6	3.4	0.0	3.4	
0.08203	-1.4	48210	-1.1	3.4	-4.5	3.4	0.0	3.4	
0.08594	-1.8	48210	-0.9	3.3	-4.2	3.3	0.0	3.3	
0.08984	-2.3	48209	-0.6	3.3	-3.9	3.3	0.0	3.3	
0.09375	-2.8	48209	-0.4	3.3	-3.7	3.3	0.0	3.3	
