FluxView - FluxMed acquisition system
Signal file
Serial Number	:
W version:	1.20h-OX-CO2	File version:	1.13
Sampling rate:	256 Hz
Time	Flow	Volume	Paw	Pes	Ptpulm	Pga	Ptdiaf	CO2	
0.00391	-4.1	15584	9.8	12.8	-3.0	0.1	-12.7	0.0	
0.00781	-3.9	15584	9.8	12.6	-2.8	0.1	-12.5	0.0	
0.01172	-3.6	15584	9.8	12.5	-2.7	0.1	-12.4	0.0	
0.01562	-3.1	15584	9.8	12.5	-2.7	0.1	-12.4	0.0	
0.01953	-2.3	15584	9.8	12.4	-2.6	0.1	-12.3	0.0	
0.02344	-1.1	15584	9.8	12.1	-2.3	0.1	-12.0	0.0	
0.02734	-0.3	15583	9.8	12.1	-2.3	0.1	-12.0	0.0	
0.03125	0.1	15584	9.8	12.1	-2.3	0.1	-12.0	0.0	
0.03516	0.5	15584	9.8	12.1	-2.3	0.1	-12.0	0.0	
0.03906	1.1	15584	9.5	12.1	-2.6	0.1	-12.0	0.0	
0.04297	1.9	15584	9.4	12.0	-2.6	0.1	-11.9	0.0	
0.04688	2.6	15584	9.3	11.8	-2.5	0.1	-11.7	0.0	
0.05078	3.1	15584	9.3	11.9	-2.6	0.1	-11.8	0.0	
0.05469	3.3	15584	9.3	11.9	-2.6	0.1	-11.8	0.0	
0.05859	3.3	15585	9.3	11.8	-2.5	0.1	-11.7	0.0	
0.06250	2.9	15585	9.3	11.8	-2.5	0.1	-11.7	0.0	
0.06641	2.6	15585	9.3	11.8	-2.5	0.1	-11.7	0.0	
0.07031	2.8	15585	9.1	11.8	-2.7	0.1	-11.7	0.0	
0.07422	3.0	15585	9.0	11.5	-2.5	0.1	-11.4	0.0	
0.07812	3.1	15585	8.9	11.4	-2.5	0.1	-11.3	0.0	
0.08203	3.3	15586	8.9	11.3	-2.4	0.1	-11.2	0.0	
0.08594	3.3	15586	8.9	11.3	-2.4	0.1	-11.2	0.0	
0.08984	3.3	15586	8.9	11.3	-2.4	0.1	-11.2	0.0	
0.09375	3.3	15586	8.9	11.3	-2.4	0.1	-11.2	0.0	
0.09766	3.3	15587	8.8	11.3	-2.5	0.1	-11.2	0.0	
0.10156	3.3	15587	8.5	11.3	-2.8	0.1	-11.2	0.0	
0.10547	3.5	15587	8.3	11.3	-3.0	0.1	-11.2	0.0	
0.10938	3.9	15587	8.3	11.3	-3.0	0.1	-11.2	0.0	
0.11328	4.1	15588	8.3	11.3	-3.0	0.1	-11.2	0.0	
0.11719	4.1	15588	8.1	11.3	-3.2	0.1	-11.2	0.0	
0.12109	4.0	15588	8.1	11.3	-3.2	0.1	-11.2	0.0	
0.12500	4.0	15588	8.1	11.3	-3.2	0.1	-11.2	0.0	
0.12891	3.8	15589	8.0	11.4	-3.4	0.1	-11.3	0.0	
0.13281	3.5	15589	7.8	11.5	-3.7	0.1	-11.4	0.0	
0.13672	3.1	15589	7.6	11.5	-3.9	0.1	-11.4	0.0	
0.14062	2.4	15589	7.5	11.4	-3.9	0.1	-11.3	0.0	
0.14453	1.9	15589	7.5	11.3	-3.8	0.1	-11.2	0.0	
0.14844	1.5	15589	7.5	11.4	-3.9	0.1	-11.3	0.0	
0.15234	0.9	15589	7.5	11.6	-4.1	0.1	-11.5	0.0	
0.15625	0.4	15589	7.4	11.5	-4.1	0.1	-11.4	0.0	
0.16016	0.0	15589	7.4	11.4	-4.0	0.1	-11.3	0.0	
0.16406	0.0	15589	7.4	11.3	-3.9	0.1	-11.2	0.0	
0.16797	-0.1	15589	7.4	11.4	-4.0	0.1	-11.3	0.0	
0.17188	-0.1	15589	7.4	11.6	-4.2	0.1	-11.5	0.0	
0.17578	-0.1	15589	7.4	11.5	-4.1	0.1	-11.4	0.0	
0.17969	0.0	15589	7.4	11.4	-4.0	0.1	-11.3	0.0	
0.18359	0.0	15589	7.4	11.3	-3.9	0.1	-11.2	0.0	
0.18750	0.4	15589	7.4	11.3	-3.9	0.1	-11.2	0.0	
0.19141	0.8	15589	7.4	11.4	-4.0	0.1	-11.3	0.0	
0.19531	0.8	15590	7.4	11.6	-4.2	0.1	-11.5	0.0	
0.19922	0.6	15590	7.4	11.6	-4.2	0.1	-11.5	0.0	
0.20312	0.9	15590	7.4	11.6	-4.2	0.1	-11.5	0.0	
0.20703	1.5	15590	7.1	11.6	-4.5	0.1	-11.5	0.0	
0.21094	2.1	15590	7.0	11.6	-4.6	0.1	-11.5	0.0	
0.21484	2.5	15590	6.9	11.6	-4.7	0.1	-11.5	0.0	
0.21875	2.6	15590	6.9	11.8	-4.9	0.1	-11.7	0.0	
0.22266	2.6	15590	7.0	11.9	-4.9	0.1	-11.8	0.0	
0.22656	2.6	15591	7.0	11.8	-4.8	0.1	-11.7	0.0	
0.23047	2.6	15591	7.0	11.8	-4.8	0.1	-11.7	0.0	
0.23438	2.9	15591	6.9	11.8	-4.9	0.1	-11.7	0.0	
0.23828	3.1	15591	6.9	11.9	-5.0	0.1	-11.8	0.0	
0.24219	3.3	15591	6.9	11.8	-4.9	0.1	-11.7	0.0	
0.24609	3.5	15592	6.9	11.8	-4.9	0.1	-11.7	0.0	
0.25000	3.6	15592	6.8	11.8	-5.0	0.1	-11.7	0.0	
0.25391	3.6	15592	6.6	11.6	-5.0	0.1	-11.5	0.0	
0.25781	3.5	15592	6.5	11.4	-4.9	0.1	-11.3	0.0	
0.26172	3.5	15592	6.4	11.3	-4.9	0.1	-11.2	0.0	
0.26562	3.6	15593	6.3	11.3	-5.0	0.1	-11.2	0.0	
0.26953	3.8	15593	6.1	11.1	-5.0	0.1	-11.0	0.0	
0.27344	3.6	15593	6.1	11.0	-4.9	0.1	-10.9	0.0	
0.27734	3.4	15593	6.1	11.0	-4.9	0.1	-10.9	0.0	
0.28125	3.4	15594	6.0	11.0	-5.0	0.1	-10.9	0.0	
0.28516	3.3	15594	5.8	11.0	-5.2	0.1	-10.9	0.0	
0.28906	2.9	15594	5.8	10.8	-5.0	0.1	-10.7	0.0	
0.29297	2.4	15594	5.8	10.8	-5.0	0.1	-10.7	0.0	
0.29688	1.5	15594	5.8	10.8	-5.0	0.1	-10.7	0.0	
0.30078	0.8	15594	5.6	10.6	-5.0	0.1	-10.5	0.0	
0.30469	0.5	15594	5.5	10.4	-4.9	0.1	-10.3	0.0	
0.30859	0.5	15594	5.6	10.3	-4.7	0.1	-10.2	0.0	
0.31250	0.6	15594	5.5	10.1	-4.6	0.1	-10.0	0.0	
0.31641	0.6	15594	5.4	10.1	-4.7	0.1	-10.0	0.0	
0.32031	0.4	15595	5.4	10.0	-4.6	0.1	-9.9	0.0	
0.32422	0.1	15595	5.4	9.9	-4.5	0.1	-9.8	0.0	
0.32812	0.0	15595	5.4	9.9	-4.5	0.1	-9.8	0.0	
0.33203	0.0	15595	5.4	9.8	-4.4	0.1	-9.7	0.0	
0.33594	0.1	15595	5.4	9.8	-4.4	0.1	-9.7	0.0	
0.33984	0.1	15595	5.4	9.8	-4.4	0.1	-9.7	0.0	
0.34375	0.1	15595	5.4	9.8	-4.4	0.1	-9.7	0.0	
0.34766	0.1	15595	5.1	9.5	-4.4	0.1	-9.4	0.0	
0.35156	0.3	15595	5.1	9.4	-4.3	0.1	-9.3	0.0	
0.35547	0.8	15595	5.3	9.4	-4.1	0.1	-9.3	0.0	
0.35938	1.5	15595	5.1	9.5	-4.4	0.1	-9.4	0.0	
0.36328	2.0	15595	5.0	9.4	-4.4	0.1	-9.3	0.0	
0.36719	1.6	15595	4.9	9.3	-4.4	0.1	-9.2	0.0	
0.37109	0.9	15595	4.9	9.3	-4.4	0.1	-9.2	0.0	
0.37500	0.4	15595	4.8	9.1	-4.3	0.1	-9.0	0.0	
0.37891	0.1	15595	4.6	9.0	-4.4	0.1	-8.9	0.0	
0.38281	0.5	15595	4.5	8.9	-4.4	0.1	-8.8	0.0	
0.38672	1.1	15595	4.5	8.9	-4.4	0.1	-8.8	0.0	
0.39062	1.4	15595	4.5	8.9	-4.4	0.1	-8.8	0.0	
0.39453	1.4	15595	4.5	8.8	-4.3	0.1	-8.7	0.0	
0.39844	1.8	15595	4.5	8.8	-4.3	0.1	-8.7	0.0	
0.40234	2.4	15596	4.5	8.8	-4.3	0.1	-8.7	0.0	
0.40625	3.0	15596	4.4	8.8	-4.4	0.1	-8.7	0.0	
0.41016	3.1	15596	4.3	8.6	-4.3	0.1	-8.5	0.0	
0.41406	2.5	15596	4.1	8.5	-4.4	0.1	-8.4	0.0	
0.41797	1.9	15596	4.1	8.6	-4.5	0.1	-8.5	0.0	
0.42188	1.6	15596	4.1	8.8	-4.7	0.1	-8.7	0.0	
0.42578	2.1	15597	4.0	8.9	-4.9	0.1	-8.8	0.0	
0.42969	2.9	15597	3.8	8.8	-5.0	0.1	-8.7	0.0	
0.43359	3.4	15597	3.8	8.6	-4.8	0.1	-8.5	0.0	
0.43750	3.6	15597	3.8	8.4	-4.6	0.1	-8.3	0.0	
0.44141	3.8	15597	3.6	8.3	-4.7	0.1	-8.2	0.0	
0.44531	3.9	15598	3.5	8.1	-4.6	0.1	-8.0	0.0	
0.44922	3.9	15598	3.5	8.1	-4.6	0.1	-8.0	0.0	
0.45312	3.8	15598	3.4	8.1	-4.7	0.1	-8.0	0.0	
0.45703	3.6	15598	3.4	8.0	-4.6	0.1	-7.9	0.0	
