FluxView - FluxMed acquisition system
Signal file
Serial Number	:
W version:	1.20h-OX-CO2	File version:	1.13
Sampling rate:	256 Hz
Time	Flow	Volume	Paw	Pes	Ptpulm	Pga	Ptdiaf	CO2	
0.00391	0.1	380	7.9	16.3	-8.4	0.1	-16.2	0.0	
0.00781	1.1	380	7.9	16.0	-8.1	0.1	-15.9	0.0	
0.01172	2.3	380	7.9	15.9	-8.0	0.1	-15.8	0.0	
0.01562	2.9	380	7.9	16.0	-8.1	0.1	-15.9	0.0	
0.01953	2.8	380	7.9	16.0	-8.1	0.1	-15.9	0.0	
0.02344	2.5	380	7.8	15.9	-8.1	0.1	-15.8	0.0	
0.02734	2.4	381	7.6	15.8	-8.2	0.1	-15.7	0.0	
0.03125	2.3	381	7.5	15.6	-8.1	0.1	-15.5	0.0	
0.03516	2.5	381	7.5	15.8	-8.3	0.1	-15.7	0.0	
0.03906	2.9	381	7.4	15.9	-8.5	0.1	-15.8	0.0	
0.04297	3.1	381	7.4	15.9	-8.5	0.1	-15.8	0.0	
0.04688	3.4	382	7.4	15.9	-8.5	0.1	-15.8	0.0	
0.05078	3.3	382	7.4	15.8	-8.4	0.1	-15.7	0.0	
0.05469	3.0	382	7.1	15.6	-8.5	0.1	-15.5	0.0	
0.05859	3.0	382	7.0	15.6	-8.6	0.1	-15.5	0.0	
0.06250	3.4	382	6.9	15.6	-8.7	0.1	-15.5	0.0	
0.06641	3.6	383	6.9	15.5	-8.6	0.1	-15.4	0.0	
0.07031	3.9	383	6.8	15.4	-8.6	0.1	-15.3	0.0	
0.07422	3.9	383	6.6	15.1	-8.5	0.1	-15.0	0.0	
0.07812	3.9	383	6.5	15.0	-8.5	0.1	-14.9	0.0	
0.08203	3.9	384	6.5	14.9	-8.4	0.1	-14.8	0.0	
0.08594	4.0	384	6.4	14.9	-8.5	0.1	-14.8	0.0	
0.08984	4.1	384	6.3	14.9	-8.6	0.1	-14.8	0.0	
0.09375	4.4	384	6.1	14.8	-8.7	0.1	-14.7	0.0	
0.09766	4.4	385	6.0	14.6	-8.6	0.1	-14.5	0.0	
0.10156	4.4	385	5.8	14.5	-8.7	0.1	-14.4	0.0	
0.10547	4.3	385	5.6	14.4	-8.8	0.1	-14.3	0.0	
0.10938	3.9	386	5.5	14.1	-8.6	0.1	-14.0	0.0	
0.11328	3.6	386	5.3	14.1	-8.8	0.1	-14.0	0.0	
0.11719	3.4	386	5.1	14.0	-8.9	0.1	-13.9	0.0	
0.12109	3.3	386	5.3	13.8	-8.5	0.1	-13.7	0.0	
0.12500	3.1	386	5.1	13.6	-8.5	0.1	-13.5	0.0	
0.12891	3.0	387	4.9	13.4	-8.5	0.1	-13.3	0.0	
0.13281	2.6	387	4.6	13.3	-8.7	0.1	-13.2	0.0	
0.13672	2.5	387	4.6	13.3	-8.7	0.1	-13.2	0.0	
0.14062	2.8	387	4.5	13.3	-8.8	0.1	-13.2	0.0	
0.14453	2.8	387	4.4	13.1	-8.7	0.1	-13.0	0.0	
0.14844	2.5	387	4.3	13.0	-8.7	0.1	-12.9	0.0	
0.15234	2.1	388	4.1	13.0	-8.9	0.1	-12.9	0.0	
0.15625	1.8	388	4.0	13.0	-9.0	0.1	-12.9	0.0	
0.16016	1.4	388	3.8	13.0	-9.2	0.1	-12.9	0.0	
0.16406	1.4	388	3.8	12.9	-9.1	0.1	-12.8	0.0	
0.16797	1.3	388	3.8	12.9	-9.1	0.1	-12.8	0.0	
0.17188	0.9	388	3.8	12.8	-9.0	0.1	-12.7	0.0	
0.17578	0.8	388	3.6	12.6	-9.0	0.1	-12.5	0.0	
0.17969	1.0	388	3.4	12.5	-9.1	0.1	-12.4	0.0	
0.18359	1.8	388	3.4	12.4	-9.0	0.1	-12.3	0.0	
0.18750	2.3	388	3.4	12.3	-8.9	0.1	-12.2	0.0	
0.19141	2.0	389	3.4	12.3	-8.9	0.1	-12.2	0.0	
0.19531	1.3	389	3.3	12.1	-8.8	0.1	-12.0	0.0	
0.19922	0.8	389	3.0	12.1	-9.1	0.1	-12.0	0.0	
0.20312	0.5	389	2.9	12.0	-9.1	0.1	-11.9	0.0	
0.20703	0.4	389	2.9	11.8	-8.9	0.1	-11.7	0.0	
0.21094	0.6	389	2.9	11.8	-8.9	0.1	-11.7	0.0	
0.21484	1.1	389	2.9	11.8	-8.9	0.1	-11.7	0.0	
0.21875	1.5	389	2.8	11.8	-9.0	0.1	-11.7	0.0	
0.22266	1.4	389	2.5	11.6	-9.1	0.1	-11.5	0.0	
0.22656	1.5	389	2.4	11.4	-9.0	0.1	-11.3	0.0	
0.23047	1.8	389	2.5	11.3	-8.8	0.1	-11.2	0.0	
