FluxView - FluxMed acquisition system
Signal file
Serial Number	:
W version:	1.20h-OX-CO2	File version:	1.13
Sampling rate:	256 Hz
Time	Flow	Volume	Paw	Pes	Ptpulm	Pga	Ptdiaf	CO2	
0.00391	1.0	18010	19.1	16.9	2.2	10.1	-6.8	16.9	
0.00781	1.0	18010	19.0	16.9	2.1	10.1	-6.8	16.9	
0.01172	0.9	18010	19.0	16.9	2.1	10.1	-6.8	16.9	
0.01562	0.8	18010	18.9	16.9	2.0	10.1	-6.8	16.9	
0.01953	0.7	18010	18.9	16.9	2.0	10.1	-6.8	16.9	
0.02344	0.6	18010	18.9	16.9	2.0	10.1	-6.8	16.9	
0.02734	0.5	18010	18.9	16.9	2.0	10.1	-6.8	16.9	
0.03125	0.4	18010	18.8	16.9	1.9	10.1	-6.8	16.9	
0.03516	0.3	18010	18.8	16.9	1.9	10.1	-6.8	16.9	
0.03906	0.2	18010	18.9	16.9	2.0	10.1	-6.8	16.9	
0.04297	0.2	18010	18.8	16.9	1.9	10.1	-6.8	16.9	
0.04688	0.1	18010	18.9	16.8	2.1	10.1	-6.7	16.8	
0.05078	0.1	18010	18.9	16.8	2.1	10.1	-6.7	16.8	
0.05469	0.1	18010	18.9	16.8	2.1	10.1	-6.7	16.8	
0.05859	0.1	18010	18.9	16.8	2.1	10.1	-6.7	16.8	
0.06250	0.1	18010	18.9	16.8	2.1	10.1	-6.7	16.8	
0.06641	0.1	18010	19.0	16.8	2.2	10.1	-6.7	16.8	
0.07031	0.2	18010	19.0	16.8	2.2	10.1	-6.7	16.8	
0.07422	0.2	18010	19.0	16.8	2.2	10.1	-6.7	16.8	
0.07812	0.2	18010	19.0	16.8	2.2	10.1	-6.7	16.8	
0.08203	0.3	18010	19.0	16.8	2.2	10.1	-6.7	16.8	
0.08594	0.3	18010	19.0	16.8	2.2	10.1	-6.7	16.8	
0.08984	0.3	18010	19.0	16.8	2.2	10.1	-6.7	16.8	
0.09375	0.4	18010	19.0	16.7	2.3	10.1	-6.6	16.7	
0.09766	0.4	18011	19.0	16.7	2.3	10.1	-6.6	16.7	
0.10156	0.3	18011	18.9	16.7	2.2	10.1	-6.6	16.7	
0.10547	0.3	18011	18.9	16.7	2.2	10.1	-6.6	16.7	
0.10938	0.3	18011	18.9	16.7	2.2	10.1	-6.6	16.7	
0.11328	0.3	18011	18.9	16.7	2.2	10.1	-6.6	16.7	
0.11719	0.3	18011	18.9	16.7	2.2	10.1	-6.6	16.7	
0.12109	0.3	18011	18.9	16.7	2.2	10.1	-6.6	16.7	
0.12500	0.3	18011	18.9	16.8	2.1	10.1	-6.7	16.8	
0.12891	0.2	18011	18.9	16.8	2.1	10.1	-6.7	16.8	
0.13281	0.2	18011	18.9	16.8	2.1	10.1	-6.7	16.8	
0.13672	0.2	18011	18.9	16.8	2.1	10.1	-6.7	16.8	
0.14062	0.2	18011	19.0	16.8	2.2	10.1	-6.7	16.8	
0.14453	0.2	18011	19.0	16.8	2.2	10.1	-6.7	16.8	
0.14844	0.2	18011	19.0	16.8	2.2	10.1	-6.7	16.8	
0.15234	0.2	18011	19.0	16.8	2.2	10.1	-6.7	16.8	
0.15625	0.2	18011	19.0	16.8	2.2	10.1	-6.7	16.8	
0.16016	0.2	18011	19.0	16.8	2.2	10.1	-6.7	16.8	
0.16406	0.2	18011	19.1	16.8	2.3	10.1	-6.7	16.8	
0.16797	0.2	18011	19.1	16.8	2.3	10.1	-6.7	16.8	
0.17188	0.2	18011	19.1	16.8	2.3	10.1	-6.7	16.8	
0.17578	0.3	18011	19.1	16.8	2.3	10.1	-6.7	16.8	
0.17969	0.3	18011	19.1	16.8	2.3	10.1	-6.7	16.8	
0.18359	0.3	18011	19.1	16.8	2.3	10.1	-6.7	16.8	
0.18750	0.3	18011	19.1	16.8	2.3	10.1	-6.7	16.8	
0.19141	0.3	18011	19.1	16.8	2.3	10.1	-6.7	16.8	
0.19531	0.3	18011	19.1	16.8	2.3	10.1	-6.7	16.8	
0.19922	0.3	18011	19.1	16.8	2.3	10.1	-6.7	16.8	
0.20312	0.3	18011	19.1	16.8	2.3	10.1	-6.7	16.8	
0.20703	0.4	18011	19.1	16.8	2.3	10.1	-6.7	16.8	
0.21094	0.4	18011	19.1	16.8	2.3	10.1	-6.7	16.8	
0.21484	0.4	18011	19.1	16.8	2.3	10.1	-6.7	16.8	
0.21875	0.4	18011	19.0	16.8	2.2	10.1	-6.7	16.8	
0.22266	0.4	18011	19.0	16.8	2.2	10.1	-6.7	16.8	
0.22656	0.4	18011	19.0	16.8	2.2	10.1	-6.7	16.8	
0.23047	0.3	18011	19.0	16.8	2.2	10.1	-6.7	16.8	
0.23438	0.3	18011	19.0	16.7	2.3	10.1	-6.6	16.7	
0.23828	0.2	18011	19.0	16.7	2.3	10.1	-6.6	16.7	
0.24219	0.1	18011	19.0	16.7	2.3	10.1	-6.6	16.7	
0.24609	0.1	18011	19.0	16.7	2.3	10.1	-6.6	16.7	
0.25000	0.0	18011	19.1	16.7	2.4	10.1	-6.6	16.7	
0.25391	-0.1	18011	19.1	16.7	2.4	10.1	-6.6	16.7	
0.25781	-0.2	18011	19.1	16.7	2.4	10.1	-6.6	16.7	
0.26172	-0.2	18011	19.2	16.7	2.5	10.1	-6.6	16.7	
0.26562	-0.3	18011	19.3	16.7	2.6	10.1	-6.6	16.7	
0.26953	-0.4	18011	19.3	16.7	2.6	10.1	-6.6	16.7	
0.27344	-0.3	18011	19.4	16.7	2.7	10.1	-6.6	16.7	
0.27734	-0.4	18011	19.5	16.7	2.8	10.1	-6.6	16.7	
0.28125	-0.3	18011	19.5	16.7	2.8	10.1	-6.6	16.7	
0.28516	-0.3	18011	19.6	16.7	2.9	10.1	-6.6	16.7	
0.28906	-0.2	18011	19.6	16.7	2.9	10.1	-6.6	16.7	
0.29297	-0.1	18011	19.7	16.7	3.0	10.1	-6.6	16.7	
0.29688	0.0	18011	19.7	16.7	3.0	10.1	-6.6	16.7	
0.30078	0.1	18011	19.7	16.7	3.0	10.1	-6.6	16.7	
0.30469	0.2	18011	19.8	16.7	3.1	10.1	-6.6	16.7	
0.30859	0.3	18011	19.8	16.7	3.1	10.1	-6.6	16.7	
0.31250	0.4	18011	19.8	16.7	3.1	10.1	-6.6	16.7	
0.31641	0.4	18011	19.7	16.7	3.0	10.1	-6.6	16.7	
0.32031	0.5	18011	19.7	16.7	3.0	10.1	-6.6	16.7	
0.32422	0.6	18011	19.7	16.7	3.0	10.1	-6.6	16.7	
0.32812	0.6	18011	19.7	16.7	3.0	10.1	-6.6	16.7	
0.33203	0.6	18011	19.6	16.7	2.9	10.1	-6.6	16.7	
0.33594	0.6	18011	19.6	16.7	2.9	10.1	-6.6	16.7	
0.33984	0.5	18011	19.5	16.7	2.8	10.1	-6.6	16.7	
0.34375	0.5	18011	19.5	16.7	2.8	10.1	-6.6	16.7	
0.34766	0.5	18011	19.4	16.7	2.7	10.1	-6.6	16.7	
0.35156	0.4	18011	19.4	16.7	2.7	10.1	-6.6	16.7	
0.35547	0.4	18011	19.4	16.7	2.7	10.1	-6.6	16.7	
0.35938	0.4	18011	19.4	16.7	2.7	10.1	-6.6	16.7	
0.36328	0.3	18011	19.3	16.7	2.6	10.1	-6.6	16.7	
0.36719	0.2	18011	19.4	16.7	2.7	10.1	-6.6	16.7	
0.37109	0.2	18011	19.4	16.7	2.7	10.1	-6.6	16.7	
0.37500	0.2	18012	19.4	16.7	2.7	10.1	-6.6	16.7	
0.37891	0.2	18012	19.4	16.8	2.6	10.1	-6.7	16.8	
0.38281	0.1	18012	19.4	16.7	2.7	10.1	-6.6	16.7	
0.38672	0.1	18012	19.4	16.8	2.6	10.1	-6.7	16.8	
0.39062	0.1	18012	19.4	16.8	2.6	10.1	-6.7	16.8	
0.39453	0.2	18012	19.4	16.8	2.6	10.1	-6.7	16.8	
0.39844	0.2	18012	19.4	16.8	2.6	10.1	-6.7	16.8	
0.40234	0.2	18012	19.5	16.8	2.7	10.1	-6.7	16.8	
0.40625	0.2	18012	19.5	16.8	2.7	10.1	-6.7	16.8	
0.41016	0.3	18012	19.5	16.8	2.7	10.1	-6.7	16.8	
0.41406	0.3	18012	19.5	16.8	2.7	10.1	-6.7	16.8	
0.41797	0.3	18012	19.5	16.8	2.7	10.1	-6.7	16.8	
0.42188	0.4	18012	19.5	16.8	2.7	10.1	-6.7	16.8	
0.42578	0.4	18012	19.5	16.8	2.7	10.1	-6.7	16.8	
0.42969	0.4	18012	19.5	16.8	2.7	10.1	-6.7	16.8	
0.43359	0.4	18012	19.5	16.8	2.7	10.1	-6.7	16.8	
0.43750	0.4	18012	19.4	16.8	2.6	10.1	-6.7	16.8	
0.44141	0.4	18012	19.4	16.8	2.6	10.1	-6.7	16.8	
0.44531	0.4	18012	19.4	16.9	2.5	10.1	-6.8	16.9	
0.44922	0.4	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.45312	0.5	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.45703	0.4	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.46094	0.3	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.46484	0.4	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.46875	0.3	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.47266	0.3	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.47656	0.3	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.48047	0.2	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.48438	0.2	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.48828	0.2	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.49219	0.2	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.49609	0.2	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.50000	0.2	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.50391	0.2	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.50781	0.2	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.51172	0.2	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.51562	0.3	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.51953	0.3	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.52344	0.3	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.52734	0.3	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.53125	0.3	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.53516	0.3	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.53906	0.3	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.54297	0.3	18012	19.3	16.9	2.4	10.1	-6.8	16.9	
0.54688	0.3	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.55078	0.3	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.55469	0.3	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.55859	0.3	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.56250	0.3	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.56641	0.2	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.57031	0.2	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.57422	0.2	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.57812	0.2	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
0.58203	0.3	18012	19.2	16.9	2.3	10.1	-6.8	16.9	
