FluxView - FluxMed acquisition system
Signal file
Serial Number	:
W version:	1.20h-OX-CO2	File version:	1.13
Sampling rate:	256 Hz
Time	Flow	Volume	Paw	Pes	Ptpulm	Pga	Ptdiaf	CO2	
0.00391	2.2	-10990	12.5	14.7	-2.2	14.7	0.0	14.7	
0.00781	2.1	-10990	12.4	14.6	-2.2	14.6	0.0	14.6	
0.01172	2.0	-10990	12.3	14.4	-2.1	14.4	0.0	14.4	
0.01562	2.1	-10990	12.2	14.3	-2.1	14.3	0.0	14.3	
0.01953	2.4	-10989	12.1	14.2	-2.1	14.2	0.0	14.2	
0.02344	2.6	-10989	11.9	14.1	-2.2	14.1	0.0	14.1	
0.02734	2.7	-10989	11.7	14.0	-2.3	14.0	0.0	14.0	
0.03125	2.7	-10989	11.6	13.9	-2.3	13.9	0.0	13.9	
0.03516	2.3	-10989	11.6	13.8	-2.2	13.8	0.0	13.8	
0.03906	2.5	-10989	11.6	13.6	-2.0	13.6	0.0	13.6	
0.04297	3.0	-10988	11.7	13.5	-1.8	13.5	0.0	13.5	
0.04688	3.1	-10988	11.3	13.4	-2.1	13.4	0.0	13.4	
0.05078	3.2	-10988	10.7	13.3	-2.6	13.3	0.0	13.3	
0.05469	2.9	-10988	10.6	13.2	-2.6	13.2	0.0	13.2	
0.05859	2.1	-10988	10.7	13.1	-2.4	13.1	0.0	13.1	
0.06250	1.9	-10988	10.7	13.0	-2.3	13.0	0.0	13.0	
0.06641	1.8	-10987	10.6	12.9	-2.3	12.9	0.0	12.9	
0.07031	1.7	-10987	10.5	12.8	-2.3	12.8	0.0	12.8	
0.07422	1.9	-10987	10.4	12.8	-2.4	12.8	0.0	12.8	
0.07812	2.1	-10987	10.3	12.7	-2.4	12.7	0.0	12.7	
0.08203	1.9	-10987	10.1	12.6	-2.5	12.6	0.0	12.6	
0.08594	1.7	-10987	10.0	12.5	-2.5	12.5	0.0	12.5	
0.08984	1.4	-10987	10.0	12.4	-2.4	12.4	0.0	12.4	
0.09375	1.1	-10987	9.9	12.4	-2.5	12.4	0.0	12.4	
0.09766	0.9	-10987	9.8	12.3	-2.5	12.3	0.0	12.3	
0.10156	0.9	-10987	9.7	12.2	-2.5	12.2	0.0	12.2	
0.10547	1.0	-10986	9.6	12.1	-2.5	12.1	0.0	12.1	
0.10938	1.1	-10986	9.6	12.0	-2.4	12.0	0.0	12.0	
0.11328	1.2	-10986	9.4	12.0	-2.6	12.0	0.0	12.0	
0.11719	1.4	-10986	9.3	11.9	-2.6	11.9	0.0	11.9	
0.12109	1.4	-10986	9.3	11.8	-2.5	11.8	0.0	11.8	
0.12500	1.4	-10986	9.1	11.7	-2.6	11.7	0.0	11.7	
0.12891	1.4	-10986	9.0	11.7	-2.7	11.7	0.0	11.7	
0.13281	1.4	-10986	9.0	11.6	-2.6	11.6	0.0	11.6	
0.13672	1.5	-10986	8.8	11.4	-2.6	11.4	0.0	11.4	
0.14062	1.4	-10986	8.8	11.4	-2.6	11.4	0.0	11.4	
0.14453	1.2	-10986	8.8	11.3	-2.5	11.3	0.0	11.3	
0.14844	1.2	-10986	8.7	11.2	-2.5	11.2	0.0	11.2	
0.15234	1.3	-10985	8.5	11.2	-2.7	11.2	0.0	11.2	
0.15625	1.2	-10985	8.4	11.1	-2.7	11.1	0.0	11.1	
0.16016	1.1	-10985	8.3	11.0	-2.7	11.0	0.0	11.0	
0.16406	1.0	-10985	8.2	10.9	-2.7	10.9	0.0	10.9	
0.16797	1.1	-10985	8.2	10.8	-2.6	10.8	0.0	10.8	
0.17188	0.9	-10985	8.1	10.8	-2.7	10.8	0.0	10.8	
0.17578	0.6	-10985	8.1	10.7	-2.6	10.7	0.0	10.7	
0.17969	0.6	-10985	8.0	10.6	-2.6	10.6	0.0	10.6	
