FluxView - FluxMed acquisition system
Signal file
Serial Number	:
W version:	1.20h-OX-CO2	File version:	1.13
Sampling rate:	256 Hz
Time	Flow	Volume	Paw	Pes	Ptpulm	Pga	Ptdiaf	CO2	
0.00391	-4.4	3520	11.2	18.0	-6.8	11.2	-6.8	11.2	
0.00781	-3.2	3520	11.1	18.0	-6.9	11.1	-6.9	11.1	
0.01172	-4.1	3520	11.1	18.0	-6.9	11.1	-6.9	11.1	
0.01562	-4.2	3519	11.1	18.1	-7.0	11.1	-7.0	11.1	
0.01953	-3.0	3519	11.1	18.1	-7.0	11.1	-7.0	11.1	
0.02344	-3.6	3519	11.1	18.0	-6.9	11.1	-6.9	11.1	
0.02734	-3.6	3519	11.1	18.0	-6.9	11.1	-6.9	11.1	
0.03125	-3.0	3518	11.1	18.1	-7.0	11.1	-7.0	11.1	
0.03516	-3.3	3518	11.1	18.1	-7.0	11.1	-7.0	11.1	
0.03906	-3.2	3518	11.1	18.0	-6.9	11.1	-6.9	11.1	
0.04297	-3.3	3518	11.1	18.0	-6.9	11.1	-6.9	11.1	
0.04688	-3.9	3518	11.1	18.0	-6.9	11.1	-6.9	11.1	
0.05078	-3.4	3517	11.1	18.1	-7.0	11.1	-7.0	11.1	
0.05469	-3.2	3517	11.1	18.1	-7.0	11.1	-7.0	11.1	
0.05859	-3.8	3517	11.1	18.0	-6.9	11.1	-6.9	11.1	
0.06250	-3.4	3517	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.06641	-3.2	3516	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.07031	-3.0	3516	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.07422	-2.8	3516	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.07812	-2.9	3516	11.1	18.1	-7.0	11.1	-7.0	11.1	
0.08203	-2.7	3516	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.08594	-2.9	3515	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.08984	-2.9	3515	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.09375	-2.6	3515	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.09766	-3.0	3515	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.10156	-2.8	3515	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.10547	-2.7	3515	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.10938	-3.4	3514	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.11328	-3.1	3514	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.11719	-2.5	3514	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.12109	-2.5	3514	10.9	18.0	-7.1	10.9	-7.1	10.9	
0.12500	-2.5	3514	10.9	18.0	-7.1	10.9	-7.1	10.9	
0.12891	-2.5	3513	10.9	18.0	-7.1	10.9	-7.1	10.9	
0.13281	-2.8	3513	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.13672	-2.5	3513	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.14062	-2.3	3513	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.14453	-2.2	3513	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.14844	-2.1	3513	11.0	18.0	-7.0	11.0	-7.0	11.0	
0.15234	-2.2	3513	11.0	18.1	-7.1	11.0	-7.1	11.0	
0.15625	-2.1	3512	10.9	18.1	-7.2	10.9	-7.2	10.9	
0.16016	-2.1	3512	10.9	18.1	-7.2	10.9	-7.2	10.9	
0.16406	-2.4	3512	11.0	18.1	-7.1	11.0	-7.1	11.0	
0.16797	-2.2	3512	10.9	18.1	-7.2	10.9	-7.2	10.9	
0.17188	-1.9	3512	10.9	18.2	-7.3	10.9	-7.3	10.9	
0.17578	-1.9	3512	11.0	18.2	-7.2	11.0	-7.2	11.0	
0.17969	-1.9	3512	10.9	18.2	-7.3	10.9	-7.3	10.9	
0.18359	-1.8	3512	10.9	18.2	-7.3	10.9	-7.3	10.9	
0.18750	-2.0	3511	11.0	18.2	-7.2	11.0	-7.2	11.0	
0.19141	-2.1	3511	11.0	18.2	-7.2	11.0	-7.2	11.0	
0.19531	-1.8	3511	10.9	18.2	-7.3	10.9	-7.3	10.9	
0.19922	-1.4	3511	11.0	18.2	-7.2	11.0	-7.2	11.0	
0.20312	-1.6	3511	11.0	18.2	-7.2	11.0	-7.2	11.0	
0.20703	-1.8	3511	10.9	18.2	-7.3	10.9	-7.3	10.9	
0.21094	-1.8	3511	10.9	18.2	-7.3	10.9	-7.3	10.9	
0.21484	-1.9	3511	10.9	18.3	-7.4	10.9	-7.4	10.9	
0.21875	-1.8	3510	10.9	18.3	-7.4	10.9	-7.4	10.9	
0.22266	-1.6	3510	10.9	18.3	-7.4	10.9	-7.4	10.9	
0.22656	-1.6	3510	10.9	18.3	-7.4	10.9	-7.4	10.9	
0.23047	-1.7	3510	10.9	18.3	-7.4	10.9	-7.4	10.9	
0.23438	-1.8	3510	10.9	18.2	-7.3	10.9	-7.3	10.9	
0.23828	-1.8	3510	10.9	18.3	-7.4	10.9	-7.4	10.9	
0.24219	-1.7	3510	10.9	18.3	-7.4	10.9	-7.4	10.9	
0.24609	-1.5	3510	10.8	18.3	-7.5	10.8	-7.5	10.8	
