FluxView - FluxMed acquisition system
Signal file
Serial Number	:
W version:	1.20h-OX-CO2	File version:	1.13
Sampling rate:	256 Hz
Time	Flow	Volume	Paw	Pes	Ptpulm	Pga	Ptdiaf	CO2	
0.00391	-5.9	9723	10.5	12.4	-1.9	0.1	-12.3	0.0	
0.00781	-5.9	9723	10.5	12.4	-1.9	0.1	-12.3	0.0	
0.01172	-5.8	9722	10.4	12.4	-2.0	0.1	-12.3	0.0	
0.01562	-5.8	9722	10.4	12.4	-2.0	0.1	-12.3	0.0	
0.01953	-5.9	9722	10.3	12.4	-2.1	0.1	-12.3	0.0	
0.02344	-6.0	9721	10.1	12.4	-2.3	0.1	-12.3	0.0	
0.02734	-5.9	9721	10.3	12.4	-2.1	0.1	-12.3	0.0	
0.03125	-5.4	9721	10.4	12.6	-2.2	0.1	-12.5	0.0	
0.03516	-4.9	9720	10.4	12.8	-2.4	0.1	-12.7	0.0	
0.03906	-4.5	9720	10.1	12.8	-2.7	0.1	-12.7	0.0	
0.04297	-4.4	9720	10.3	12.6	-2.3	0.1	-12.5	0.0	
0.04688	-4.4	9719	10.3	12.8	-2.5	0.1	-12.7	0.0	
0.05078	-4.3	9719	10.1	12.9	-2.8	0.1	-12.8	0.0	
0.05469	-4.0	9719	10.1	13.0	-2.9	0.1	-12.9	0.0	
0.05859	-3.6	9719	10.1	13.1	-3.0	0.1	-13.0	0.0	
0.06250	-2.8	9718	10.1	13.3	-3.2	0.1	-13.2	0.0	
0.06641	-1.6	9718	10.1	13.3	-3.2	0.1	-13.2	0.0	
0.07031	-0.8	9718	10.1	13.3	-3.2	0.1	-13.2	0.0	
0.07422	-0.5	9718	10.0	13.4	-3.4	0.1	-13.3	0.0	
0.07812	-0.5	9718	9.8	13.5	-3.7	0.1	-13.4	0.0	
0.08203	-0.3	9718	9.8	13.5	-3.7	0.1	-13.4	0.0	
0.08594	0.0	9718	9.8	13.4	-3.6	0.1	-13.3	0.0	
0.08984	0.0	9718	9.8	13.3	-3.5	0.1	-13.2	0.0	
0.09375	0.0	9718	9.8	13.3	-3.5	0.1	-13.2	0.0	
0.09766	0.4	9718	9.8	13.1	-3.3	0.1	-13.0	0.0	
0.10156	1.8	9718	9.5	13.1	-3.6	0.1	-13.0	0.0	
0.10547	3.0	9719	9.5	13.1	-3.6	0.1	-13.0	0.0	
0.10938	3.6	9719	9.5	13.0	-3.5	0.1	-12.9	0.0	
0.11328	3.8	9719	9.4	12.8	-3.4	0.1	-12.7	0.0	
0.11719	3.6	9719	9.3	12.6	-3.3	0.1	-12.5	0.0	
0.12109	3.3	9719	9.1	12.5	-3.4	0.1	-12.4	0.0	
0.12500	2.9	9720	9.0	12.5	-3.5	0.1	-12.4	0.0	
0.12891	2.8	9720	8.9	12.5	-3.6	0.1	-12.4	0.0	
0.13281	2.9	9720	8.9	12.4	-3.5	0.1	-12.3	0.0	
0.13672	2.9	9720	8.9	12.1	-3.2	0.1	-12.0	0.0	
0.14062	2.5	9720	8.9	12.1	-3.2	0.1	-12.0	0.0	
0.14453	2.1	9720	8.8	12.1	-3.3	0.1	-12.0	0.0	
0.14844	1.8	9721	8.8	12.0	-3.2	0.1	-11.9	0.0	
0.15234	1.6	9721	8.8	11.9	-3.1	0.1	-11.8	0.0	
0.15625	1.4	9721	8.8	11.9	-3.1	0.1	-11.8	0.0	
0.16016	1.5	9721	8.6	11.8	-3.2	0.1	-11.7	0.0	
0.16406	1.6	9721	8.5	11.8	-3.3	0.1	-11.7	0.0	
0.16797	1.8	9721	8.5	11.8	-3.3	0.1	-11.7	0.0	
0.17188	1.6	9721	8.5	11.8	-3.3	0.1	-11.7	0.0	
0.17578	1.3	9721	8.5	11.5	-3.0	0.1	-11.4	0.0	
0.17969	1.4	9721	8.5	11.5	-3.0	0.1	-11.4	0.0	
0.18359	1.6	9722	8.5	11.6	-3.1	0.1	-11.5	0.0	
0.18750	1.4	9722	8.4	11.5	-3.1	0.1	-11.4	0.0	
0.19141	1.1	9722	8.3	11.4	-3.1	0.1	-11.3	0.0	
0.19531	1.1	9722	8.3	11.4	-3.1	0.1	-11.3	0.0	
0.19922	1.0	9722	8.3	11.6	-3.3	0.1	-11.5	0.0	
0.20312	0.5	9722	8.1	11.5	-3.4	0.1	-11.4	0.0	
0.20703	0.1	9722	8.1	11.4	-3.3	0.1	-11.3	0.0	
0.21094	0.0	9722	8.1	11.3	-3.2	0.1	-11.2	0.0	
0.21484	0.0	9722	8.0	11.4	-3.4	0.1	-11.3	0.0	
0.21875	0.0	9722	7.9	11.5	-3.6	0.1	-11.4	0.0	
0.22266	0.6	9722	7.9	11.4	-3.5	0.1	-11.3	0.0	
0.22656	1.5	9722	7.8	11.3	-3.5	0.1	-11.2	0.0	
0.23047	1.6	9722	7.8	11.3	-3.5	0.1	-11.2	0.0	
0.23438	1.3	9722	7.8	11.1	-3.3	0.1	-11.0	0.0	
0.23828	0.9	9722	7.6	11.1	-3.5	0.1	-11.0	0.0	
0.24219	0.5	9722	7.5	11.1	-3.6	0.1	-11.0	0.0	
0.24609	0.5	9722	7.6	11.0	-3.4	0.1	-10.9	0.0	
0.25000	0.6	9722	7.5	10.9	-3.4	0.1	-10.8	0.0	
0.25391	0.5	9722	7.4	10.9	-3.5	0.1	-10.8	0.0	
0.25781	0.3	9722	7.5	10.9	-3.4	0.1	-10.8	0.0	
0.26172	0.1	9722	7.5	10.9	-3.4	0.1	-10.8	0.0	
0.26562	0.0	9722	7.4	10.9	-3.5	0.1	-10.8	0.0	
0.26953	0.3	9722	7.4	10.9	-3.5	0.1	-10.8	0.0	
0.27344	0.5	9722	7.4	10.9	-3.5	0.1	-10.8	0.0	
0.27734	0.8	9722	7.4	10.9	-3.5	0.1	-10.8	0.0	
0.28125	0.9	9723	7.1	10.9	-3.8	0.1	-10.8	0.0	
0.28516	1.1	9723	7.1	10.8	-3.7	0.1	-10.7	0.0	
0.28906	1.0	9723	7.1	10.6	-3.5	0.1	-10.5	0.0	
0.29297	0.9	9723	7.0	10.5	-3.5	0.1	-10.4	0.0	
0.29688	1.1	9723	6.9	10.5	-3.6	0.1	-10.4	0.0	
0.30078	1.5	9723	6.8	10.4	-3.6	0.1	-10.3	0.0	
0.30469	1.9	9723	6.6	10.3	-3.7	0.1	-10.2	0.0	
0.30859	2.4	9723	6.5	10.1	-3.6	0.1	-10.0	0.0	
0.31250	2.4	9723	6.5	10.0	-3.5	0.1	-9.9	0.0	
0.31641	1.8	9723	6.4	9.8	-3.4	0.1	-9.7	0.0	
0.32031	1.3	9724	6.4	9.8	-3.4	0.1	-9.7	0.0	
0.32422	1.5	9724	6.4	9.8	-3.4	0.1	-9.7	0.0	
0.32812	2.4	9724	6.4	9.6	-3.2	0.1	-9.5	0.0	
0.33203	3.3	9724	6.1	9.4	-3.3	0.1	-9.3	0.0	
0.33594	3.8	9724	6.1	9.3	-3.2	0.1	-9.2	0.0	
0.33984	3.9	9725	6.1	9.3	-3.2	0.1	-9.2	0.0	
0.34375	4.0	9725	6.0	9.3	-3.3	0.1	-9.2	0.0	
0.34766	3.8	9725	5.8	9.1	-3.3	0.1	-9.0	0.0	
0.35156	3.3	9725	5.8	9.0	-3.2	0.1	-8.9	0.0	
0.35547	2.9	9725	5.8	9.0	-3.2	0.1	-8.9	0.0	
0.35938	2.4	9726	5.6	9.0	-3.4	0.1	-8.9	0.0	
0.36328	2.0	9726	5.4	9.0	-3.6	0.1	-8.9	0.0	
0.36719	2.0	9726	5.4	8.8	-3.4	0.1	-8.7	0.0	
0.37109	2.4	9726	5.4	8.8	-3.4	0.1	-8.7	0.0	
0.37500	2.6	9726	5.3	8.9	-3.6	0.1	-8.8	0.0	
0.37891	2.5	9726	5.1	8.8	-3.7	0.1	-8.7	0.0	
0.38281	2.1	9726	5.1	8.6	-3.5	0.1	-8.5	0.0	
0.38672	1.6	9727	5.0	8.5	-3.5	0.1	-8.4	0.0	
0.39062	1.4	9727	4.9	8.5	-3.6	0.1	-8.4	0.0	
0.39453	1.1	9727	4.9	8.5	-3.6	0.1	-8.4	0.0	
0.39844	0.8	9727	4.9	8.5	-3.6	0.1	-8.4	0.0	
0.40234	0.8	9727	4.9	8.5	-3.6	0.1	-8.4	0.0	
0.40625	1.1	9727	4.8	8.4	-3.6	0.1	-8.3	0.0	
0.41016	1.4	9727	4.6	8.3	-3.7	0.1	-8.2	0.0	
0.41406	1.1	9727	4.5	8.1	-3.6	0.1	-8.0	0.0	
0.41797	0.8	9727	4.4	8.0	-3.6	0.1	-7.9	0.0	
0.42188	0.9	9727	4.3	7.9	-3.6	0.1	-7.8	0.0	
0.42578	1.3	9727	4.3	8.0	-3.7	0.1	-7.9	0.0	
0.42969	1.4	9727	4.3	8.0	-3.7	0.1	-7.9	0.0	
0.43359	1.0	9727	4.1	8.0	-3.9	0.1	-7.9	0.0	
0.43750	0.6	9727	4.1	7.8	-3.7	0.1	-7.7	0.0	
0.44141	0.5	9728	4.0	7.8	-3.8	0.1	-7.7	0.0	
0.44531	0.9	9728	3.8	7.8	-4.0	0.1	-7.7	0.0	
0.44922	1.5	9728	3.8	7.6	-3.8	0.1	-7.5	0.0	
0.45312	1.4	9728	3.8	7.5	-3.7	0.1	-7.4	0.0	
0.45703	0.8	9728	3.8	7.6	-3.8	0.1	-7.5	0.0	
0.46094	0.3	9728	3.6	7.5	-3.9	0.1	-7.4	0.0	
0.46484	0.0	9728	3.4	7.4	-4.0	0.1	-7.3	0.0	
0.46875	0.0	9728	3.5	7.4	-3.9	0.1	-7.3	0.0	
0.47266	0.1	9728	3.5	7.4	-3.9	0.1	-7.3	0.0	
0.47656	0.9	9728	3.4	7.4	-4.0	0.1	-7.3	0.0	
0.48047	1.3	9728	3.3	7.4	-4.1	0.1	-7.3	0.0	
0.48438	1.4	9728	3.1	7.4	-4.3	0.1	-7.3	0.0	
0.48828	1.0	9728	3.3	7.4	-4.1	0.1	-7.3	0.0	
0.49219	0.6	9728	3.3	7.5	-4.2	0.1	-7.4	0.0	
0.49609	0.8	9728	3.1	7.5	-4.4	0.1	-7.4	0.0	
0.50000	1.3	9728	3.1	7.5	-4.4	0.1	-7.4	0.0	
0.50391	1.6	9728	3.1	7.4	-4.3	0.1	-7.3	0.0	
0.50781	1.9	9729	3.0	7.5	-4.5	0.1	-7.4	0.0	
0.51172	1.9	9729	2.9	7.6	-4.7	0.1	-7.5	0.0	
0.51562	1.3	9729	2.9	7.6	-4.7	0.1	-7.5	0.0	
0.51953	0.5	9729	2.9	7.6	-4.7	0.1	-7.5	0.0	
0.52344	0.4	9729	2.8	7.6	-4.8	0.1	-7.5	0.0	
0.52734	1.1	9729	2.6	7.6	-5.0	0.1	-7.5	0.0	
0.53125	2.0	9729	2.5	7.6	-5.1	0.1	-7.5	0.0	
0.53516	2.8	9729	2.5	7.6	-5.1	0.1	-7.5	0.0	
0.53906	3.3	9729	2.5	7.6	-5.1	0.1	-7.5	0.0	
0.54297	3.4	9730	2.4	7.6	-5.2	0.1	-7.5	0.0	
0.54688	3.4	9730	2.3	7.6	-5.3	0.1	-7.5	0.0	
0.55078	3.5	9730	2.1	7.6	-5.5	0.1	-7.5	0.0	
0.55469	3.6	9730	2.1	7.6	-5.5	0.1	-7.5	0.0	
0.55859	3.6	9731	2.0	7.4	-5.4	0.1	-7.3	0.0	
0.56250	3.6	9731	1.9	7.4	-5.5	0.1	-7.3	0.0	
0.56641	3.8	9731	1.8	7.4	-5.6	0.1	-7.3	0.0	
0.57031	3.5	9731	1.8	7.3	-5.5	0.1	-7.2	0.0	
0.57422	3.1	9731	1.6	7.0	-5.4	0.1	-6.9	0.0	
0.57812	3.0	9732	1.4	6.9	-5.5	0.1	-6.8	0.0	
0.58203	3.0	9732	1.4	6.9	-5.5	0.1	-6.8	0.0	
0.58594	3.0	9732	1.3	6.8	-5.5	0.1	-6.7	0.0	
0.58984	3.1	9732	1.0	6.6	-5.6	0.1	-6.5	0.0	
0.59375	3.1	9732	1.0	6.5	-5.5	0.1	-6.4	0.0	
0.59766	3.1	9733	1.3	6.5	-5.2	0.1	-6.4	0.0	
0.60156	2.9	9733	1.3	6.4	-5.1	0.1	-6.3	0.0	
0.60547	2.1	9733	1.3	6.3	-5.0	0.1	-6.2	0.0	
0.60938	0.9	9733	1.1	6.1	-5.0	0.1	-6.0	0.0	
0.61328	-0.4	9733	1.0	6.1	-5.1	0.1	-6.0	0.0	
0.61719	-1.4	9733	0.9	6.1	-5.2	0.1	-6.0	0.0	
0.62109	-2.0	9733	0.9	6.0	-5.1	0.1	-5.9	0.0	
0.62500	-2.5	9733	1.0	5.9	-4.9	0.1	-5.8	0.0	
0.62891	-2.9	9732	1.3	6.0	-4.7	0.1	-5.9	0.0	
0.63281	-3.1	9732	1.3	5.9	-4.6	0.1	-5.8	0.0	
0.63672	-3.3	9732	1.4	5.9	-4.5	0.1	-5.8	0.0	
0.64062	-3.3	9732	1.6	5.9	-4.3	0.1	-5.8	0.0	
