FluxView - FluxMed acquisition system
Signal file
Serial Number	:
W version:	1.20h-OX-CO2	File version:	1.13
Sampling rate:	256 Hz
Time	Flow	Volume	Paw	Pes	Ptpulm	Pga	Ptdiaf	CO2	
0.00391	-2.0	-106	19.7	15.3	4.4	15.3	0.0	15.3	
0.00781	-2.0	-106	19.7	15.3	4.4	15.3	0.0	15.3	
0.01172	-2.0	-107	19.7	15.3	4.4	15.3	0.0	15.3	
0.01562	-2.0	-107	19.7	15.3	4.4	15.3	0.0	15.3	
0.01953	-2.0	-107	19.7	15.3	4.4	15.3	0.0	15.3	
0.02344	-2.0	-107	19.7	15.3	4.4	15.3	0.0	15.3	
0.02734	-2.1	-107	19.7	15.3	4.4	15.3	0.0	15.3	
0.03125	-2.1	-107	19.7	15.3	4.4	15.3	0.0	15.3	
0.03516	-2.1	-107	19.7	15.3	4.4	15.3	0.0	15.3	
0.03906	-2.1	-108	19.8	15.3	4.5	15.3	0.0	15.3	
0.04297	-2.2	-108	19.8	15.3	4.5	15.3	0.0	15.3	
0.04688	-2.3	-108	19.8	15.3	4.5	15.3	0.0	15.3	
0.05078	-2.4	-108	19.9	15.3	4.6	15.3	0.0	15.3	
0.05469	-2.4	-108	19.9	15.3	4.6	15.3	0.0	15.3	
0.05859	-2.4	-108	20.0	15.3	4.7	15.3	0.0	15.3	
0.06250	-2.5	-108	20.0	15.3	4.7	15.3	0.0	15.3	
0.06641	-2.4	-109	20.1	15.3	4.8	15.3	0.0	15.3	
0.07031	-2.5	-109	20.2	15.4	4.8	15.4	0.0	15.4	
0.07422	-2.5	-109	20.2	15.4	4.8	15.4	0.0	15.4	
0.07812	-2.5	-109	20.3	15.4	4.9	15.4	0.0	15.4	
0.08203	-2.5	-109	20.4	15.4	5.0	15.4	0.0	15.4	
0.08594	-2.5	-109	20.4	15.4	5.0	15.4	0.0	15.4	
0.08984	-2.5	-110	20.5	15.5	5.0	15.5	0.0	15.5	
0.09375	-2.5	-110	20.6	15.5	5.1	15.5	0.0	15.5	
0.09766	-2.5	-110	20.6	15.5	5.1	15.5	0.0	15.5	
0.10156	-2.5	-110	20.7	15.6	5.1	15.6	0.0	15.6	
0.10547	-2.5	-110	20.8	15.6	5.2	15.6	0.0	15.6	
0.10938	-2.4	-110	20.8	15.7	5.1	15.7	0.0	15.7	
0.11328	-2.4	-111	20.9	15.7	5.2	15.7	0.0	15.7	
0.11719	-2.4	-111	20.9	15.7	5.2	15.7	0.0	15.7	
0.12109	-2.4	-111	21.0	15.8	5.2	15.8	0.0	15.8	
0.12500	-2.3	-111	21.0	15.9	5.1	15.9	0.0	15.9	
0.12891	-2.3	-111	21.1	15.9	5.2	15.9	0.0	15.9	
0.13281	-2.3	-111	21.1	15.9	5.2	15.9	0.0	15.9	
0.13672	-2.3	-111	21.1	16.0	5.1	16.0	0.0	16.0	
0.14062	-2.3	-112	21.2	16.0	5.2	16.0	0.0	16.0	
0.14453	-2.2	-112	21.2	16.1	5.1	16.1	0.0	16.1	
0.14844	-2.2	-112	21.2	16.1	5.1	16.1	0.0	16.1	
0.15234	-2.2	-112	21.3	16.2	5.1	16.2	0.0	16.2	
0.15625	-2.3	-112	21.3	16.2	5.1	16.2	0.0	16.2	
0.16016	-2.3	-112	21.4	16.3	5.1	16.3	0.0	16.3	
0.16406	-2.3	-113	21.4	16.4	5.0	16.4	0.0	16.4	
0.16797	-2.4	-113	21.5	16.4	5.1	16.4	0.0	16.4	
0.17188	-2.4	-113	21.5	16.5	5.0	16.5	0.0	16.5	
0.17578	-2.5	-113	21.6	16.5	5.1	16.5	0.0	16.5	
0.17969	-2.5	-113	21.6	16.6	5.0	16.6	0.0	16.6	
0.18359	-2.6	-113	21.7	16.6	5.1	16.6	0.0	16.6	
0.18750	-2.7	-113	21.8	16.7	5.1	16.7	0.0	16.7	
0.19141	-2.7	-114	21.9	16.7	5.2	16.7	0.0	16.7	
0.19531	-2.8	-114	21.9	16.8	5.1	16.8	0.0	16.8	
0.19922	-2.9	-114	22.0	16.8	5.2	16.8	0.0	16.8	
0.20312	-2.9	-114	22.1	16.9	5.2	16.9	0.0	16.9	
0.20703	-2.9	-114	22.2	16.9	5.3	16.9	0.0	16.9	
0.21094	-3.0	-115	22.2	16.9	5.3	16.9	0.0	16.9	
0.21484	-2.9	-115	22.3	17.0	5.3	17.0	0.0	17.0	
0.21875	-2.8	-115	22.4	17.0	5.4	17.0	0.0	17.0	
0.22266	-2.8	-115	22.5	17.0	5.5	17.0	0.0	17.0	
0.22656	-2.7	-115	22.6	17.0	5.6	17.0	0.0	17.0	
0.23047	-2.7	-116	22.6	17.1	5.5	17.1	0.0	17.1	
0.23438	-2.6	-116	22.7	17.1	5.6	17.1	0.0	17.1	
0.23828	-2.5	-116	22.8	17.1	5.7	17.1	0.0	17.1	
0.24219	-2.5	-116	22.8	17.1	5.7	17.1	0.0	17.1	
0.24609	-2.5	-116	22.9	17.1	5.8	17.1	0.0	17.1	
0.25000	-2.5	-116	23.0	17.1	5.9	17.1	0.0	17.1	
0.25391	-2.6	-116	23.0	17.2	5.8	17.2	0.0	17.2	
0.25781	-2.7	-117	23.1	17.2	5.9	17.2	0.0	17.2	
0.26172	-2.8	-117	23.2	17.2	6.0	17.2	0.0	17.2	
0.26562	-3.0	-117	23.3	17.2	6.1	17.2	0.0	17.2	
0.26953	-3.2	-117	23.4	17.3	6.1	17.3	0.0	17.3	
0.27344	-3.6	-117	23.5	17.3	6.2	17.3	0.0	17.3	
0.27734	-3.9	-118	23.7	17.4	6.3	17.4	0.0	17.4	
0.28125	-4.3	-118	23.8	17.4	6.4	17.4	0.0	17.4	
0.28516	-4.7	-118	24.0	17.5	6.5	17.5	0.0	17.5	
