FluxView - FluxMed acquisition system
Signal file
Serial Number	:
W version:	1.20h-OX-CO2	File version:	1.13
Sampling rate:	256 Hz
Time	Flow	Volume	Paw	Pes	Ptpulm	Pga	Ptdiaf	CO2	
0.00391	1.5	376	2.0	0.5	1.5	0.5	0.0	0.5	
0.00781	1.4	376	1.9	0.5	1.4	0.5	0.0	0.5	
0.01172	1.4	376	1.9	0.4	1.5	0.4	0.0	0.4	
0.01562	1.4	377	1.8	0.3	1.5	0.3	0.0	0.3	
0.01953	1.4	377	1.7	0.2	1.5	0.2	0.0	0.2	
0.02344	1.4	377	1.6	0.2	1.4	0.2	0.0	0.2	
0.02734	1.3	377	1.6	0.1	1.5	0.1	0.0	0.1	
0.03125	1.3	377	1.5	0.0	1.5	0.0	0.0	0.0	
0.03516	1.3	377	1.5	-0.1	1.6	-0.1	0.0	-0.1	
0.03906	1.2	377	1.4	-0.1	1.5	-0.1	0.0	-0.1	
0.04297	1.2	377	1.4	-0.2	1.6	-0.2	0.0	-0.2	
0.04688	1.2	377	1.3	-0.3	1.6	-0.3	0.0	-0.3	
0.05078	1.1	377	1.3	-0.3	1.6	-0.3	0.0	-0.3	
0.05469	1.1	377	1.2	-0.4	1.6	-0.4	0.0	-0.4	
0.05859	1.0	377	1.2	-0.5	1.7	-0.5	0.0	-0.5	
0.06250	0.9	378	1.1	-0.6	1.7	-0.6	0.0	-0.6	
0.06641	0.9	378	1.1	-0.6	1.7	-0.6	0.0	-0.6	
0.07031	0.9	378	1.1	-0.7	1.8	-0.7	0.0	-0.7	
0.07422	0.8	378	1.1	-0.7	1.8	-0.7	0.0	-0.7	
0.07812	0.7	378	1.0	-0.8	1.8	-0.8	0.0	-0.8	
0.08203	0.7	378	1.0	-0.9	1.9	-0.9	0.0	-0.9	
0.08594	0.6	378	1.0	-0.9	1.9	-0.9	0.0	-0.9	
0.08984	0.5	378	1.0	-1.0	2.0	-1.0	0.0	-1.0	
0.09375	0.4	378	1.0	-1.0	2.0	-1.0	0.0	-1.0	
0.09766	0.3	378	1.0	-1.1	2.1	-1.1	0.0	-1.1	
0.10156	0.2	378	1.0	-1.1	2.1	-1.1	0.0	-1.1	
0.10547	0.2	378	1.0	-1.2	2.2	-1.2	0.0	-1.2	
0.10938	0.1	378	1.0	-1.2	2.2	-1.2	0.0	-1.2	
0.11328	0.0	378	1.1	-1.3	2.4	-1.3	0.0	-1.3	
0.11719	-0.1	378	1.1	-1.3	2.4	-1.3	0.0	-1.3	
0.12109	-0.2	378	1.2	-1.3	2.5	-1.3	0.0	-1.3	
